index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
A1,3220,0,0,2325,1,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A2,1019,46,49,4052,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A3,3329,0,0,4080,0,Two,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A4,1145,43,515,5136,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A5,1949,15,6,1644,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A6,1125,18,31,1429,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A7,254,12,17,4537,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A8,701,2,0,4393,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A9,510,0,2,5613,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A10,323,14,13,3663,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
B1,1686,3,0,3988,0,Two,Rocks,Ponce,716,"17.9724027, -66.6179076"
B2,366,0,65,8934,0,Two,Rocks,Ponce,716,"17.964016, -66.609962"
B3,2444,21,7,3540,0,Three,Rocks,Ponce,716,"17.964016, -66.609962"
C1,151,2,0,6421,0,OnePointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C2,60,0,0,3273,0,TwoPointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C3,1439,9,7,2869,0,Three,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C4,382,14,102,2405,0,FourPointFive,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
C5,212,3,16,5837,0,Three,Spur & Groove Reef,Isabella,662,"18.515768, -67.100173"
D1,508,0,12,5666,0,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
D2,531,2,7,4287,0,Three,Seagrass,Luquillo,773,"18.387573, -65.719616"
D3,619,8,39,6321,0,Three,Seagrass,Luquillo,773,"18.387573, -65.719616"
D4,4646,6,18,5753,4,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
D5,414,0,4,2774,0,TwoPointFive,Seagrass,Luquillo,773,"18.387573, -65.719616"
E1,1555,4,0,3586,0,ThreePointFive,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E2,198,2,0,4270,0,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E3,55,0,0,6040,0,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E4,6091,0,5,4035,4,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E6,2360,6,5,4433,3,Three,Reef Rubble,Culebra,775,"18.302451, -65.309386"
E7,3216,0,4,2884,0,ThreePointFive,Reef Rubble,Culebra,775,"18.302451, -65.309386"
F1,1219,39,6,2993,0,TwoPointFive,Rocks,Guayama,784,"17.929801, -66.158912"
F2,315,14,0,5124,0,OnePointFive,Rocks,Guayama,784,"17.929801, -66.158912"
G1,1786,0,14,4111,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G2,558,0,0,4450,0,Three,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G3,140,0,0,6603,0,Two,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G4,2687,8,6,1907,0,TwoPointFive,Spur & Groove Reef,Ceiba,735,"18.218831, -65.604282"
G5,656,0,0,4714,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G6,295,9,0,5220,0,TwoPointFive,Spur & Groove Reef,Ceiba,735,"18.218831, -65.604282"
G7,3657,5,0,2697,4,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G8,584,0,0,5395,0,TwoPointFive,Patch Reef,Ceiba,735,"18.218831, -65.604282"
G9,3187,14,2,4305,0,Two,Patch Reef,Ceiba,735,"18.218831, -65.604282"
H1,3713,5,0,1599,0,Two,Rocks,Guanica,647,"17.934784, -66.957102"
H2,3094,20,362,2771,2,Three,Rocks,Guanica,647,"17.934784, -66.957102"
H3,1787,0,0,4322,0,OnePointFive,Rocks,Guanica,647,"17.934784, -66.957102"
