index,k__Bacteria;__;__;__;__;__;__,k__Bacteria;p__Bacteroidetes;__;__;__;__;__,k__Bacteria;p__Firmicutes;__;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__,k__Bacteria;p__Proteobacteria;__;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__daejeonense,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Candidatus Hepatoplasma;s__,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
A1,3220,0,0,0,0,0,1247,1058,0,0,0,20,0,0,0,0,1,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A2,1019,46,0,49,0,0,953,3088,0,0,2,7,0,0,0,2,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A3,3329,0,0,0,0,0,1041,3032,0,0,0,7,0,0,0,0,0,Two,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A4,1145,43,0,481,34,0,2115,2863,2,2,0,47,0,0,0,107,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A5,1949,15,0,6,0,0,354,1265,0,0,0,25,0,0,0,0,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A6,1125,18,0,31,0,0,351,1076,0,0,0,0,0,0,0,2,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A7,254,12,0,17,0,0,1319,3158,3,0,0,55,2,0,0,0,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A8,701,2,0,0,0,0,1945,2383,0,0,0,51,0,0,0,14,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A9,510,0,0,0,0,2,1594,3928,5,0,0,80,0,0,0,6,0,Three,Rocky Reef,Rincon,677,"18.343114, -67.260138"
A10,323,14,0,13,0,0,1318,2271,0,0,0,43,0,0,0,31,0,TwoPointFive,Rocky Reef,Rincon,677,"18.343114, -67.260138"
B1,1686,3,0,0,0,0,1605,2317,2,0,0,64,0,0,0,0,0,Two,Rocks,Ponce,716,"17.9724027, -66.6179076"
B2,366,0,0,65,0,0,1854,7056,8,0,0,0,0,0,0,16,0,Two,Rocks,Ponce,716,"17.964016, -66.609962"
