index,k__Bacteria,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
E7,6104.0,ThreePointFive,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
H1,5317.0,Two,Rocks,Guanica,647.0,"17.934784, -66.957102"
D1,6186.0,TwoPointFive,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
G6,5524.0,TwoPointFive,Spur & Groove Reef,Ceiba,735.0,"18.218831, -65.604282"
G4,4608.0,TwoPointFive,Spur & Groove Reef,Ceiba,735.0,"18.218831, -65.604282"
G5,5370.0,TwoPointFive,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
A4,6839.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
F2,5453.0,OnePointFive,Rocks,Guayama,784.0,"17.929801, -66.158912"
G7,6363.0,TwoPointFive,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
A8,5096.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
A9,6125.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
B3,6012.0,Three,Rocks,Ponce,716.0,"17.964016, -66.609962"
C3,4324.0,Three,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
H3,6109.0,OnePointFive,Rocks,Guanica,647.0,"17.934784, -66.957102"
A2,5166.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
F1,4257.0,TwoPointFive,Rocks,Guayama,784.0,"17.929801, -66.158912"
G8,5979.0,TwoPointFive,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
A5,3614.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
G1,5911.0,TwoPointFive,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
A1,5546.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
D4,10427.0,TwoPointFive,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
D2,4827.0,Three,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
C5,6068.0,Three,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
A7,4820.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
E4,10135.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
C4,2903.0,FourPointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
B2,9365.0,Two,Rocks,Ponce,716.0,"17.964016, -66.609962"
A3,7409.0,Two,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
C1,6574.0,OnePointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
D3,6987.0,Three,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
E2,4470.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
A6,2603.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
E3,6095.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
C2,3333.0,TwoPointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
D5,3192.0,TwoPointFive,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
A10,4013.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
G3,6743.0,Two,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
H2,6249.0,Three,Rocks,Guanica,647.0,"17.934784, -66.957102"
G2,5008.0,Three,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
G9,7508.0,Two,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
E6,6807.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
B1,5677.0,Two,Rocks,Ponce,716.0,"17.9724027, -66.6179076"
E1,5145.0,ThreePointFive,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
