Group 1,Group 2,H,p-value,q-value
"17.929801, -66.158912 (n=2)","17.934784, -66.957102 (n=3)",0.33333333333333215,0.5637028616507738,0.8407906859093218
"17.929801, -66.158912 (n=2)","17.964016, -66.609962 (n=2)",0.5999999999999996,0.43857802608099994,0.8407906859093218
"17.929801, -66.158912 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.218831, -65.604282 (n=9)",0.8888888888888928,0.3457785861511592,0.8407906859093218
"17.929801, -66.158912 (n=2)","18.302451, -65.309386 (n=6)",0.4444444444444464,0.5049850750938447,0.8407906859093218
"17.929801, -66.158912 (n=2)","18.343114, -67.260138 (n=10)",0.41538461538461746,0.5192490622486554,0.8407906859093218
"17.929801, -66.158912 (n=2)","18.387573, -65.719616 (n=5)",1.3499999999999979,0.2452781168067699,0.8407906859093218
"17.929801, -66.158912 (n=2)","18.515768, -67.100173 (n=5)",0.5999999999999979,0.4385780260810006,0.8407906859093218
"17.934784, -66.957102 (n=3)","17.964016, -66.609962 (n=2)",0.3333333333333357,0.5637028616507718,0.8407906859093218
"17.934784, -66.957102 (n=3)","17.9724027, -66.6179076 (n=1)",0.1999999999999993,0.6547208460185774,0.8417839448810318
"17.934784, -66.957102 (n=3)","18.218831, -65.604282 (n=9)",0.0769230769230802,0.7815112949987089,0.9378135539984506
"17.934784, -66.957102 (n=3)","18.302451, -65.309386 (n=6)",0.0,1.0,1.0
"17.934784, -66.957102 (n=3)","18.343114, -67.260138 (n=10)",0.028571428571432023,0.8657723749926134,0.961633584208389
"17.934784, -66.957102 (n=3)","18.387573, -65.719616 (n=5)",0.19999999999999574,0.6547208460185803,0.8417839448810318
"17.934784, -66.957102 (n=3)","18.515768, -67.100173 (n=5)",0.02222222222221859,0.8814974521910232,0.961633584208389
"17.964016, -66.609962 (n=2)","17.9724027, -66.6179076 (n=1)",1.5,0.22067136191984324,0.8407906859093218
"17.964016, -66.609962 (n=2)","18.218831, -65.604282 (n=9)",0.8888888888888928,0.3457785861511592,0.8407906859093218
"17.964016, -66.609962 (n=2)","18.302451, -65.309386 (n=6)",0.44444444444444287,0.5049850750938465,0.8407906859093218
"17.964016, -66.609962 (n=2)","18.343114, -67.260138 (n=10)",0.7384615384615429,0.39015414830192485,0.8407906859093218
"17.964016, -66.609962 (n=2)","18.387573, -65.719616 (n=5)",0.14999999999999858,0.69853535830334,0.8671473413420773
"17.964016, -66.609962 (n=2)","18.515768, -67.100173 (n=5)",1.3499999999999979,0.2452781168067699,0.8407906859093218
"17.9724027, -66.6179076 (n=1)","18.218831, -65.604282 (n=9)",2.4545454545454533,0.11718508719813842,0.8407906859093218
"17.9724027, -66.6179076 (n=1)","18.302451, -65.309386 (n=6)",2.25,0.13361440253771584,0.8407906859093218
"17.9724027, -66.6179076 (n=1)","18.343114, -67.260138 (n=10)",1.6000000000000014,0.20590321073206447,0.8407906859093218
"17.9724027, -66.6179076 (n=1)","18.387573, -65.719616 (n=5)",2.1428571428571423,0.14323490752466572,0.8407906859093218
"17.9724027, -66.6179076 (n=1)","18.515768, -67.100173 (n=5)",2.1428571428571423,0.14323490752466572,0.8407906859093218
"18.218831, -65.604282 (n=9)","18.302451, -65.309386 (n=6)",0.055555555555557135,0.8136637157667893,0.9448997989549811
"18.218831, -65.604282 (n=9)","18.343114, -67.260138 (n=10)",0.4266666666666694,0.5136291133931227,0.8407906859093218
"18.218831, -65.604282 (n=9)","18.387573, -65.719616 (n=5)",1.2844444444444463,0.25707429868482634,0.8407906859093218
"18.218831, -65.604282 (n=9)","18.515768, -67.100173 (n=5)",0.2177777777777763,0.6407383818025418,0.8417839448810318
"18.302451, -65.309386 (n=6)","18.343114, -67.260138 (n=10)",0.9529411764705884,0.32897177441062164,0.8407906859093218
"18.302451, -65.309386 (n=6)","18.387573, -65.719616 (n=5)",0.8333333333333357,0.3613104285261781,0.8407906859093218
"18.302451, -65.309386 (n=6)","18.515768, -67.100173 (n=5)",0.30000000000000426,0.5838824207703623,0.8407906859093218
"18.343114, -67.260138 (n=10)","18.387573, -65.719616 (n=5)",2.5350000000000037,0.11134688653313994,0.8407906859093218
"18.343114, -67.260138 (n=10)","18.515768, -67.100173 (n=5)",0.0,1.0,1.0
"18.387573, -65.719616 (n=5)","18.515768, -67.100173 (n=5)",2.4545454545454533,0.11718508719813842,0.8407906859093218
