Group 1,Group 2,H,p-value,q-value
Patch Reef (n=7),Reef Rubble (n=6),0.0,1.0,1.0
Patch Reef (n=7),Rocks (n=8),0.3348214285714306,0.5628337539173243,0.8479481974646799
Patch Reef (n=7),Rocky Reef (n=10),0.6095238095238145,0.4349671606144264,0.8479481974646799
Patch Reef (n=7),Seagrass (n=5),1.1142857142857139,0.29115222318363254,0.8479481974646799
Patch Reef (n=7),Spur & Groove Reef (n=7),0.3306122448979636,0.5652987983097866,0.8479481974646799
Reef Rubble (n=6),Rocks (n=8),0.14999999999999858,0.69853535830334,0.9105677362633297
Reef Rubble (n=6),Rocky Reef (n=10),0.9529411764705884,0.32897177441062164,0.8479481974646799
Reef Rubble (n=6),Seagrass (n=5),0.8333333333333357,0.3613104285261781,0.8479481974646799
Reef Rubble (n=6),Spur & Groove Reef (n=7),0.5102040816326507,0.47505052405395376,0.8479481974646799
Rocks (n=8),Rocky Reef (n=10),0.03157894736842337,0.8589549227374772,0.9911018339278582
Rocks (n=8),Seagrass (n=5),1.3714285714285666,0.24156658696897032,0.8479481974646799
Rocks (n=8),Spur & Groove Reef (n=7),0.1205357142857153,0.7284541890106637,0.9105677362633297
Rocky Reef (n=10),Seagrass (n=5),2.5350000000000037,0.11134688653313994,0.8479481974646799
Rocky Reef (n=10),Spur & Groove Reef (n=7),0.0,1.0,1.0
Seagrass (n=5),Spur & Groove Reef (n=7),2.3802197802197824,0.12288025808822761,0.8479481974646799
