Group 1,Group 2,H,p-value,q-value
FourPointFive (n=1),OnePointFive (n=3),1.8000000000000007,0.17971249487899588,0.7345322381740947
FourPointFive (n=1),Three (n=16),1.0416666666666643,0.307434165927393,0.7345322381740947
FourPointFive (n=1),ThreePointFive (n=2),0.0,1.0,1.0
FourPointFive (n=1),Two (n=6),1.0,0.31731050786291115,0.7345322381740947
FourPointFive (n=1),TwoPointFive (n=15),0.29411764705883314,0.5875938479556515,0.8813907719334773
OnePointFive (n=3),Three (n=16),0.012500000000002842,0.9109792925106239,1.0
OnePointFive (n=3),ThreePointFive (n=2),1.3333333333333321,0.2482130789899204,0.7345322381740947
OnePointFive (n=3),Two (n=6),0.0,1.0,1.0
OnePointFive (n=3),TwoPointFive (n=15),0.5929824561403407,0.44126813332893355,0.8273777499917504
Three (n=16),ThreePointFive (n=2),0.9671052631578902,0.3254031804801104,0.7345322381740947
Three (n=16),Two (n=6),0.19565217391303236,0.6582534143112925,0.8976182922426716
Three (n=16),TwoPointFive (n=15),0.8999999999999915,0.3427817111479109,0.7345322381740947
ThreePointFive (n=2),Two (n=6),0.4444444444444464,0.5049850750938447,0.8416417918230745
ThreePointFive (n=2),TwoPointFive (n=15),0.02222222222221859,0.8814974521910232,1.0
Two (n=6),TwoPointFive (n=15),1.0242424242424306,0.3115148035577053,0.7345322381740947
