Group 1,Group 2,H,p-value,q-value
"17.929801, -66.158912 (n=2)","17.934784, -66.957102 (n=3)",0.33333333333333215,0.5637028616507738,0.9241428346752225
"17.929801, -66.158912 (n=2)","17.964016, -66.609962 (n=2)",0.5999999999999996,0.43857802608099994,0.9241428346752225
"17.929801, -66.158912 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.218831, -65.604282 (n=9)",0.055555555555557135,0.8136637157667893,0.9763964589201471
"17.929801, -66.158912 (n=2)","18.302451, -65.309386 (n=6)",1.7777777777777786,0.18242243945173184,0.8209009775327933
"17.929801, -66.158912 (n=2)","18.343114, -67.260138 (n=10)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.387573, -65.719616 (n=5)",0.5999999999999979,0.4385780260810006,0.9241428346752225
"17.929801, -66.158912 (n=2)","18.515768, -67.100173 (n=5)",0.5999999999999979,0.4385780260810006,0.9241428346752225
"17.934784, -66.957102 (n=3)","17.964016, -66.609962 (n=2)",0.33333333333333215,0.5637028616507738,0.9241428346752225
"17.934784, -66.957102 (n=3)","17.9724027, -66.6179076 (n=1)",0.1999999999999993,0.6547208460185774,0.9241428346752225
"17.934784, -66.957102 (n=3)","18.218831, -65.604282 (n=9)",0.6923076923076934,0.4053805564589422,0.9241428346752225
"17.934784, -66.957102 (n=3)","18.302451, -65.309386 (n=6)",1.0666666666666664,0.30169958247834494,0.9060559692654484
"17.934784, -66.957102 (n=3)","18.343114, -67.260138 (n=10)",0.4571428571428626,0.4989622986037584,0.9241428346752225
"17.934784, -66.957102 (n=3)","18.387573, -65.719616 (n=5)",3.755555555555553,0.052632302565740766,0.7121572655030391
"17.934784, -66.957102 (n=3)","18.515768, -67.100173 (n=5)",0.02222222222221859,0.8814974521910232,0.9916846337149011
"17.964016, -66.609962 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.964016, -66.609962 (n=2)","18.218831, -65.604282 (n=9)",0.22222222222222143,0.6373518882339377,0.9241428346752225
"17.964016, -66.609962 (n=2)","18.302451, -65.309386 (n=6)",1.0,0.31731050786291115,0.9060559692654484
"17.964016, -66.609962 (n=2)","18.343114, -67.260138 (n=10)",0.18461538461538396,0.667436491709883,0.9241428346752225
"17.964016, -66.609962 (n=2)","18.387573, -65.719616 (n=5)",1.3499999999999979,0.2452781168067699,0.9060559692654484
"17.964016, -66.609962 (n=2)","18.515768, -67.100173 (n=5)",0.0,1.0,1.0
"17.9724027, -66.6179076 (n=1)","18.218831, -65.604282 (n=9)",0.2727272727272734,0.6015081344405895,0.9241428346752225
"17.9724027, -66.6179076 (n=1)","18.302451, -65.309386 (n=6)",0.25,0.6170750774519739,0.9241428346752225
"17.9724027, -66.6179076 (n=1)","18.343114, -67.260138 (n=10)",0.3999999999999986,0.5270892568655388,0.9241428346752225
"17.9724027, -66.6179076 (n=1)","18.387573, -65.719616 (n=5)",2.1428571428571423,0.14323490752466572,0.8209009775327933
"17.9724027, -66.6179076 (n=1)","18.515768, -67.100173 (n=5)",0.08571428571428541,0.7696979437812901,0.9554871026250498
"18.218831, -65.604282 (n=9)","18.302451, -65.309386 (n=6)",3.555555555555557,0.05934643879191993,0.7121572655030391
"18.218831, -65.604282 (n=9)","18.343114, -67.260138 (n=10)",0.026666666666670835,0.8702827722810258,0.9916846337149011
"18.218831, -65.604282 (n=9)","18.387573, -65.719616 (n=5)",1.9599999999999937,0.16151331846753866,0.8209009775327933
"18.218831, -65.604282 (n=9)","18.515768, -67.100173 (n=5)",0.11111111111110716,0.7388826803635317,0.949992017610255
"18.302451, -65.309386 (n=6)","18.343114, -67.260138 (n=10)",1.9882352941176507,0.15852551722895075,0.8209009775327933
"18.302451, -65.309386 (n=6)","18.387573, -65.719616 (n=5)",4.800000000000004,0.028459736916310506,0.7121572655030391
"18.302451, -65.309386 (n=6)","18.515768, -67.100173 (n=5)",1.2000000000000028,0.27332167829229437,0.9060559692654484
"18.343114, -67.260138 (n=10)","18.387573, -65.719616 (n=5)",0.960000000000008,0.3271868777903008,0.9060559692654484
"18.343114, -67.260138 (n=10)","18.515768, -67.100173 (n=5)",0.13500000000000512,0.7133031738784523,0.949992017610255
"18.387573, -65.719616 (n=5)","18.515768, -67.100173 (n=5)",2.4545454545454533,0.11718508719813842,0.8209009775327933
