Group 1,Group 2,H,p-value,q-value
Ceiba (n=9),Culebra (n=6),3.555555555555557,0.05934643879191993,0.5539000953912527
Ceiba (n=9),Guanica (n=3),0.6923076923076934,0.4053805564589422,0.7891840063110832
Ceiba (n=9),Guayama (n=2),0.055555555555557135,0.8136637157667893,0.9141455059758758
Ceiba (n=9),Isabella (n=5),0.11111111111110716,0.7388826803635317,0.9141455059758758
Ceiba (n=9),Luquillo (n=5),1.9599999999999937,0.16151331846753866,0.6384785380810615
Ceiba (n=9),Ponce (n=3),0.41880341880342087,0.517534719643234,0.7891840063110832
Ceiba (n=9),Rincon (n=10),0.026666666666670835,0.8702827722810258,0.9141455059758758
Culebra (n=6),Guanica (n=3),1.0666666666666664,0.30169958247834494,0.7634360481773687
Culebra (n=6),Guayama (n=2),1.7777777777777786,0.18242243945173184,0.6384785380810615
Culebra (n=6),Isabella (n=5),1.2000000000000028,0.27332167829229437,0.7634360481773687
Culebra (n=6),Luquillo (n=5),4.800000000000004,0.028459736916310506,0.5539000953912527
Culebra (n=6),Ponce (n=3),1.0666666666666664,0.30169958247834494,0.7634360481773687
Culebra (n=6),Rincon (n=10),1.9882352941176507,0.15852551722895075,0.6384785380810615
Guanica (n=3),Guayama (n=2),0.33333333333333215,0.5637028616507738,0.7891840063110832
Guanica (n=3),Isabella (n=5),0.02222222222221859,0.8814974521910232,0.9141455059758758
Guanica (n=3),Luquillo (n=5),3.755555555555553,0.052632302565740766,0.5539000953912527
Guanica (n=3),Ponce (n=3),0.04761904761904745,0.8272593465627116,0.9141455059758758
Guanica (n=3),Rincon (n=10),0.4571428571428626,0.4989622986037584,0.7891840063110832
Guayama (n=2),Isabella (n=5),0.5999999999999979,0.4385780260810006,0.7891840063110832
Guayama (n=2),Luquillo (n=5),0.5999999999999979,0.4385780260810006,0.7891840063110832
Guayama (n=2),Ponce (n=3),0.33333333333333215,0.5637028616507738,0.7891840063110832
Guayama (n=2),Rincon (n=10),0.0,1.0,1.0
Isabella (n=5),Luquillo (n=5),2.4545454545454533,0.11718508719813842,0.6384785380810615
Isabella (n=5),Ponce (n=3),0.02222222222221859,0.8814974521910232,0.9141455059758758
Isabella (n=5),Rincon (n=10),0.13500000000000512,0.7133031738784523,0.9141455059758758
Luquillo (n=5),Ponce (n=3),2.68888888888889,0.10105025592541045,0.6384785380810615
Luquillo (n=5),Rincon (n=10),0.960000000000008,0.3271868777903008,0.7634360481773687
Ponce (n=3),Rincon (n=10),0.4571428571428626,0.4989622986037584,0.7891840063110832
