Group 1,Group 2,H,p-value,q-value
Patch Reef (n=7),Reef Rubble (n=6),2.9387755102040813,0.08647626549366551,0.31399611808516004
Patch Reef (n=7),Rocks (n=8),0.013392857142861203,0.9078685009495221,0.9222578596520477
Patch Reef (n=7),Rocky Reef (n=10),0.15238095238095184,0.6962703401140232,0.8646855980337377
Patch Reef (n=7),Seagrass (n=5),2.3802197802197824,0.12288025808822761,0.31399611808516004
Patch Reef (n=7),Spur & Groove Reef (n=7),0.10204081632652873,0.7493941849625727,0.8646855980337377
Reef Rubble (n=6),Rocks (n=8),2.3999999999999986,0.12133525035848367,0.31399611808516004
Reef Rubble (n=6),Rocky Reef (n=10),1.9882352941176507,0.15852551722895075,0.31399611808516004
Reef Rubble (n=6),Seagrass (n=5),4.800000000000004,0.028459736916310506,0.30317984502681405
Reef Rubble (n=6),Spur & Groove Reef (n=7),2.040816326530617,0.153127451019665,0.31399611808516004
Rocks (n=8),Rocky Reef (n=10),0.5052631578947384,0.4771966199887694,0.7157949299831541
Rocks (n=8),Seagrass (n=5),4.200000000000003,0.04042397933690854,0.30317984502681405
Rocks (n=8),Spur & Groove Reef (n=7),0.3348214285714306,0.5628337539173243,0.767500573523624
Rocky Reef (n=10),Seagrass (n=5),0.960000000000008,0.3271868777903008,0.5453114629838347
Rocky Reef (n=10),Spur & Groove Reef (n=7),0.009523809523813043,0.9222578596520477,0.9222578596520477
Seagrass (n=5),Spur & Groove Reef (n=7),1.9054945054945094,0.16746459631208535,0.31399611808516004
