Group 1,Group 2,H,p-value,q-value
FourPointFive (n=1),OnePointFive (n=3),1.8000000000000007,0.17971249487899588,0.5252808188249118
FourPointFive (n=1),Three (n=16),0.375,0.5402913746074198,0.9734112557341867
FourPointFive (n=1),ThreePointFive (n=2),0.0,1.0,1.0
FourPointFive (n=1),Two (n=6),2.25,0.13361440253771584,0.5010540095164344
FourPointFive (n=1),TwoPointFive (n=15),0.011764705882356452,0.9136266610628463,1.0
OnePointFive (n=3),Three (n=16),0.20000000000000284,0.6547208460185746,0.9734112557341867
OnePointFive (n=3),ThreePointFive (n=2),0.0,1.0,1.0
OnePointFive (n=3),Two (n=6),0.2666666666666657,0.6055766163353469,0.9734112557341867
OnePointFive (n=3),TwoPointFive (n=15),2.5578947368421083,0.10974463874701304,0.5010540095164344
Three (n=16),ThreePointFive (n=2),0.07894736842104777,0.7787290045873494,0.9734112557341867
Three (n=16),Two (n=6),1.5706521739130324,0.21011232752996475,0.5252808188249118
Three (n=16),TwoPointFive (n=15),2.8890624999999943,0.08918280718314084,0.5010540095164344
ThreePointFive (n=2),Two (n=6),0.11111111111111427,0.7388826803635237,0.9734112557341867
ThreePointFive (n=2),TwoPointFive (n=15),0.5555555555555571,0.4560565402502553,0.9734112557341867
Two (n=6),TwoPointFive (n=15),7.0060606060606005,0.008123423304273531,0.12185134956410297
