#Sample ID	Size	Reef_Habitat	Location	ZipCode	Latitude_Longitude
A1	Three	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A10	TwoPointFive	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A2	TwoPointFive	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A3	Two	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A4	TwoPointFive	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A5	Three	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A6	TwoPointFive	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A7	Three	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A8	Three	Rocky Reef	Rincon	677	"18.343114, -67.260138"
A9	Three	Rocky Reef	Rincon	677	"18.343114, -67.260138"
B1	Two	Rocks	Ponce	716	"17.9724027, -66.6179076"
B2	Two	Rocks	Ponce	716	"17.964016, -66.609962"
B3	Three	Rocks	Ponce	716	"17.964016, -66.609962"
C1	OnePointFive	Spur & Groove Reef	Isabella	662	"18.515768, -67.100173"
C2	TwoPointFive	Spur & Groove Reef	Isabella	662	"18.515768, -67.100173"
C3	Three	Spur & Groove Reef	Isabella	662	"18.515768, -67.100173"
C4	FourPointFive	Spur & Groove Reef	Isabella	662	"18.515768, -67.100173"
C5	Three	Spur & Groove Reef	Isabella	662	"18.515768, -67.100173"
D1	TwoPointFive	Seagrass	Luquillo	773	"18.387573, -65.719616"
D2	Three	Seagrass	Luquillo	773	"18.387573, -65.719616"
D3	Three	Seagrass	Luquillo	773	"18.387573, -65.719616"
D4	TwoPointFive	Seagrass	Luquillo	773	"18.387573, -65.719616"
D5	TwoPointFive	Seagrass	Luquillo	773	"18.387573, -65.719616"
E1	ThreePointFive	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E2	Three	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E3	Three	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E4	Three	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E5	ThreePointFive	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E6	Three	Reef Rubble	Culebra	775	"18.302451, -65.309386"
E7	ThreePointFive	Reef Rubble	Culebra	775	"18.302451, -65.309386"
F1	TwoPointFive	Rocks	Guayama	784	"17.929801, -66.158912"
F2	OnePointFive	Rocks	Guayama	784	"17.929801, -66.158912"
G1	TwoPointFive	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G2	Three	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G3	Two	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G4	TwoPointFive	Spur & Groove Reef	Ceiba	735	"18.218831, -65.604282"
G5	TwoPointFive	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G6	TwoPointFive	Spur & Groove Reef	Ceiba	735	"18.218831, -65.604282"
G7	TwoPointFive	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G8	TwoPointFive	Patch Reef	Ceiba	735	"18.218831, -65.604282"
G9	Two	Patch Reef	Ceiba	735	"18.218831, -65.604282"
H1	Two	Rocks	Guanica	647	"17.934784, -66.957102"
H2	Three	Rocks	Guanica	647	"17.934784, -66.957102"
H3	OnePointFive	Rocks	Guanica	647	"17.934784, -66.957102"
