Group 1,Group 2,H,p-value,q-value
"17.929801, -66.158912 (n=2)","17.934784, -66.957102 (n=3)",0.33333333333333215,0.5637028616507738,0.8417839448810318
"17.929801, -66.158912 (n=2)","17.964016, -66.609962 (n=2)",0.5999999999999996,0.43857802608099994,0.8417839448810318
"17.929801, -66.158912 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.218831, -65.604282 (n=9)",0.22222222222222143,0.6373518882339377,0.8417839448810318
"17.929801, -66.158912 (n=2)","18.302451, -65.309386 (n=6)",0.4444444444444464,0.5049850750938447,0.8417839448810318
"17.929801, -66.158912 (n=2)","18.343114, -67.260138 (n=10)",0.7384615384615429,0.39015414830192485,0.8417839448810318
"17.929801, -66.158912 (n=2)","18.387573, -65.719616 (n=5)",1.3499999999999979,0.2452781168067699,0.8417839448810318
"17.929801, -66.158912 (n=2)","18.515768, -67.100173 (n=5)",0.0,1.0,1.0
"17.934784, -66.957102 (n=3)","17.964016, -66.609962 (n=2)",0.3333333333333357,0.5637028616507718,0.8417839448810318
"17.934784, -66.957102 (n=3)","17.9724027, -66.6179076 (n=1)",0.1999999999999993,0.6547208460185774,0.8417839448810318
"17.934784, -66.957102 (n=3)","18.218831, -65.604282 (n=9)",0.00854700854701207,0.9263404892511367,1.0
"17.934784, -66.957102 (n=3)","18.302451, -65.309386 (n=6)",0.06666666666666643,0.7962534147376396,0.9365759309117455
"17.934784, -66.957102 (n=3)","18.343114, -67.260138 (n=10)",0.028571428571432023,0.8657723749926134,0.9739939218666901
"17.934784, -66.957102 (n=3)","18.387573, -65.719616 (n=5)",0.19999999999999574,0.6547208460185803,0.8417839448810318
"17.934784, -66.957102 (n=3)","18.515768, -67.100173 (n=5)",0.19999999999999574,0.6547208460185803,0.8417839448810318
"17.964016, -66.609962 (n=2)","17.9724027, -66.6179076 (n=1)",1.5,0.22067136191984324,0.8417839448810318
"17.964016, -66.609962 (n=2)","18.218831, -65.604282 (n=9)",0.8888888888888928,0.3457785861511592,0.8417839448810318
"17.964016, -66.609962 (n=2)","18.302451, -65.309386 (n=6)",0.44444444444444287,0.5049850750938465,0.8417839448810318
"17.964016, -66.609962 (n=2)","18.343114, -67.260138 (n=10)",0.7384615384615429,0.39015414830192485,0.8417839448810318
"17.964016, -66.609962 (n=2)","18.387573, -65.719616 (n=5)",0.0,1.0,1.0
"17.964016, -66.609962 (n=2)","18.515768, -67.100173 (n=5)",3.75,0.052807511416113395,0.8417839448810318
"17.9724027, -66.6179076 (n=1)","18.218831, -65.604282 (n=9)",1.4848484848484773,0.22301746994661256,0.8417839448810318
"17.9724027, -66.6179076 (n=1)","18.302451, -65.309386 (n=6)",2.25,0.13361440253771584,0.8417839448810318
"17.9724027, -66.6179076 (n=1)","18.343114, -67.260138 (n=10)",0.8999999999999986,0.34278171114790906,0.8417839448810318
"17.9724027, -66.6179076 (n=1)","18.387573, -65.719616 (n=5)",2.1428571428571423,0.14323490752466572,0.8417839448810318
"17.9724027, -66.6179076 (n=1)","18.515768, -67.100173 (n=5)",2.1428571428571423,0.14323490752466572,0.8417839448810318
"18.218831, -65.604282 (n=9)","18.302451, -65.309386 (n=6)",0.22222222222222854,0.6373518882339323,0.8417839448810318
"18.218831, -65.604282 (n=9)","18.343114, -67.260138 (n=10)",0.10666666666666913,0.7439714780750541,0.9235508003690327
"18.218831, -65.604282 (n=9)","18.387573, -65.719616 (n=5)",1.6044444444444466,0.20527450366426758,0.8417839448810318
"18.218831, -65.604282 (n=9)","18.515768, -67.100173 (n=5)",0.35999999999999943,0.5485062355001473,0.8417839448810318
"18.302451, -65.309386 (n=6)","18.343114, -67.260138 (n=10)",0.9529411764705884,0.32897177441062164,0.8417839448810318
"18.302451, -65.309386 (n=6)","18.387573, -65.719616 (n=5)",1.2000000000000028,0.27332167829229437,0.8417839448810318
"18.302451, -65.309386 (n=6)","18.515768, -67.100173 (n=5)",0.30000000000000426,0.5838824207703623,0.8417839448810318
"18.343114, -67.260138 (n=10)","18.387573, -65.719616 (n=5)",1.5,0.22067136191984324,0.8417839448810318
"18.343114, -67.260138 (n=10)","18.515768, -67.100173 (n=5)",0.060000000000002274,0.8064959405073364,0.9365759309117455
"18.387573, -65.719616 (n=5)","18.515768, -67.100173 (n=5)",3.152727272727269,0.07580017458236198,0.8417839448810318
