Group 1,Group 2,H,p-value,q-value
Ceiba (n=9),Culebra (n=6),0.22222222222222854,0.6373518882339323,0.960649396260438
Ceiba (n=9),Guanica (n=3),0.00854700854701207,0.9263404892511367,0.960649396260438
Ceiba (n=9),Guayama (n=2),0.22222222222222143,0.6373518882339377,0.960649396260438
Ceiba (n=9),Isabella (n=5),0.35999999999999943,0.5485062355001473,0.960649396260438
Ceiba (n=9),Luquillo (n=5),1.6044444444444466,0.20527450366426758,0.960649396260438
Ceiba (n=9),Ponce (n=3),0.00854700854701207,0.9263404892511367,0.960649396260438
Ceiba (n=9),Rincon (n=10),0.10666666666666913,0.7439714780750541,0.960649396260438
Culebra (n=6),Guanica (n=3),0.06666666666666643,0.7962534147376396,0.960649396260438
Culebra (n=6),Guayama (n=2),0.4444444444444464,0.5049850750938447,0.960649396260438
Culebra (n=6),Isabella (n=5),0.30000000000000426,0.5838824207703623,0.960649396260438
Culebra (n=6),Luquillo (n=5),1.2000000000000028,0.27332167829229437,0.960649396260438
Culebra (n=6),Ponce (n=3),0.06666666666666643,0.7962534147376396,0.960649396260438
Culebra (n=6),Rincon (n=10),0.9529411764705884,0.32897177441062164,0.960649396260438
Guanica (n=3),Guayama (n=2),0.33333333333333215,0.5637028616507738,0.960649396260438
Guanica (n=3),Isabella (n=5),0.19999999999999574,0.6547208460185803,0.960649396260438
Guanica (n=3),Luquillo (n=5),0.19999999999999574,0.6547208460185803,0.960649396260438
Guanica (n=3),Ponce (n=3),0.04761904761904745,0.8272593465627116,0.960649396260438
Guanica (n=3),Rincon (n=10),0.028571428571432023,0.8657723749926134,0.960649396260438
Guayama (n=2),Isabella (n=5),0.0,1.0,1.0
Guayama (n=2),Luquillo (n=5),1.3499999999999979,0.2452781168067699,0.960649396260438
Guayama (n=2),Ponce (n=3),0.33333333333333215,0.5637028616507738,0.960649396260438
Guayama (n=2),Rincon (n=10),0.7384615384615429,0.39015414830192485,0.960649396260438
Isabella (n=5),Luquillo (n=5),3.152727272727269,0.07580017458236198,0.960649396260438
Isabella (n=5),Ponce (n=3),0.5555555555555571,0.4560565402502553,0.960649396260438
Isabella (n=5),Rincon (n=10),0.060000000000002274,0.8064959405073364,0.960649396260438
Luquillo (n=5),Ponce (n=3),0.55555555555555,0.4560565402502583,0.960649396260438
Luquillo (n=5),Rincon (n=10),1.5,0.22067136191984324,0.960649396260438
Ponce (n=3),Rincon (n=10),0.028571428571432023,0.8657723749926134,0.960649396260438
