Group 1,Group 2,H,p-value,q-value
Patch Reef (n=7),Reef Rubble (n=6),0.08163265306122014,0.7750969621959906,0.8589549227374772
Patch Reef (n=7),Rocks (n=8),0.0535714285714306,0.8169613217153878,0.8589549227374772
Patch Reef (n=7),Rocky Reef (n=10),0.15238095238095184,0.6962703401140232,0.8589549227374772
Patch Reef (n=7),Seagrass (n=5),1.4835164835164818,0.2232251453067525,0.822429436026554
Patch Reef (n=7),Spur & Groove Reef (n=7),0.49387755102040387,0.48220269762779233,0.8589549227374772
Reef Rubble (n=6),Rocks (n=8),0.06666666666666998,0.7962534147376342,0.8589549227374772
Reef Rubble (n=6),Rocky Reef (n=10),0.9529411764705884,0.32897177441062164,0.822429436026554
Reef Rubble (n=6),Seagrass (n=5),1.2000000000000028,0.27332167829229437,0.822429436026554
Reef Rubble (n=6),Spur & Groove Reef (n=7),0.5102040816326507,0.47505052405395376,0.8589549227374772
Rocks (n=8),Rocky Reef (n=10),0.03157894736842337,0.8589549227374772,0.8589549227374772
Rocks (n=8),Seagrass (n=5),1.0499999999999972,0.3055070868612516,0.822429436026554
Rocks (n=8),Spur & Groove Reef (n=7),0.3348214285714306,0.5628337539173243,0.8589549227374772
Rocky Reef (n=10),Seagrass (n=5),1.5,0.22067136191984324,0.822429436026554
Rocky Reef (n=10),Spur & Groove Reef (n=7),0.03809523809523796,0.8452520242196516,0.8589549227374772
Seagrass (n=5),Spur & Groove Reef (n=7),2.907692307692308,0.08815793541979447,0.822429436026554
