Group 1,Group 2,H,p-value,q-value
FourPointFive (n=1),OnePointFive (n=3),1.8000000000000007,0.17971249487899588,0.7932762696572778
FourPointFive (n=1),Three (n=16),1.0416666666666643,0.307434165927393,0.7932762696572778
FourPointFive (n=1),ThreePointFive (n=2),1.5,0.22067136191984324,0.7932762696572778
FourPointFive (n=1),Two (n=6),1.0,0.31731050786291115,0.7932762696572778
FourPointFive (n=1),TwoPointFive (n=15),0.10588235294118675,0.7448816195459441,1.0
OnePointFive (n=3),Three (n=16),0.012500000000002842,0.9109792925106239,1.0
OnePointFive (n=3),ThreePointFive (n=2),3.0,0.08326451666355042,0.7932762696572778
OnePointFive (n=3),Two (n=6),0.0,1.0,1.0
OnePointFive (n=3),TwoPointFive (n=15),0.42456140350876836,0.514669723449737,0.8577828724162284
Three (n=16),ThreePointFive (n=2),0.7105263157894726,0.3992691431710659,0.8555767353665698
Three (n=16),Two (n=6),0.2663043478260789,0.6058216905523408,0.9087325358285112
Three (n=16),TwoPointFive (n=15),0.5062500000000085,0.47676672399857634,0.8577828724162284
ThreePointFive (n=2),Two (n=6),0.0,1.0,1.0
ThreePointFive (n=2),TwoPointFive (n=15),0.02222222222221859,0.8814974521910232,1.0
Two (n=6),TwoPointFive (n=15),1.0242424242424306,0.3115148035577053,0.7932762696572778
