Group 1,Group 2,H,p-value,q-value
FourPointFive (n=1),OnePointFive (n=3),1.8000000000000007,0.17971249487899588,0.4492812371974897
FourPointFive (n=1),Three (n=16),0.1666666666666643,0.6830913983096107,0.8594787917837816
FourPointFive (n=1),ThreePointFive (n=2),0.0,1.0,1.0
FourPointFive (n=1),Two (n=6),2.25,0.13361440253771584,0.4492812371974897
FourPointFive (n=1),TwoPointFive (n=15),0.10588235294118675,0.7448816195459441,0.8594787917837816
OnePointFive (n=3),Three (n=16),0.45000000000000284,0.5023349543605007,0.8372249239341678
OnePointFive (n=3),ThreePointFive (n=2),0.0,1.0,1.0
OnePointFive (n=3),Two (n=6),0.5999999999999979,0.4385780260810006,0.8372249239341678
OnePointFive (n=3),TwoPointFive (n=15),3.8210526315789437,0.05061243223918493,0.379593241793887
Three (n=16),ThreePointFive (n=2),0.1776315789473628,0.6734165746337716,0.8594787917837816
Three (n=16),Two (n=6),1.9619565217391255,0.16130422648350687,0.4492812371974897
Three (n=16),TwoPointFive (n=15),2.6265624999999915,0.10508901004329917,0.4492812371974897
ThreePointFive (n=2),Two (n=6),0.11111111111111427,0.7388826803635237,0.8594787917837816
ThreePointFive (n=2),TwoPointFive (n=15),0.5555555555555571,0.4560565402502553,0.8372249239341678
Two (n=6),TwoPointFive (n=15),8.296969696969697,0.0039711285449142274,0.05956692817371341
