Group 1,Group 2,H,p-value,q-value
Patch Reef (n=7),Reef Rubble (n=6),2.040816326530617,0.153127451019665,0.35885270638304
Patch Reef (n=7),Rocks (n=8),0.4821428571428612,0.48745329036403295,0.6647090323145904
Patch Reef (n=7),Rocky Reef (n=10),0.03809523809523796,0.8452520242196516,0.9056271688067696
Patch Reef (n=7),Seagrass (n=5),1.9054945054945094,0.16746459631208535,0.35885270638304
Patch Reef (n=7),Spur & Groove Reef (n=7),0.0040816326530617175,0.9490596808859298,0.9490596808859298
Reef Rubble (n=6),Rocks (n=8),2.0166666666666657,0.1555803477921939,0.35885270638304
Reef Rubble (n=6),Rocky Reef (n=10),2.3058823529411825,0.12888507323288875,0.35885270638304
Reef Rubble (n=6),Seagrass (n=5),5.63333333333334,0.017622090962324352,0.26433136443486527
Reef Rubble (n=6),Spur & Groove Reef (n=7),1.3061224489795933,0.25309790894711204,0.4505735677579604
Rocks (n=8),Rocky Reef (n=10),0.5052631578947384,0.4771966199887694,0.6647090323145904
Rocks (n=8),Seagrass (n=5),3.6214285714285666,0.05703987424905575,0.35885270638304
Rocks (n=8),Spur & Groove Reef (n=7),0.1205357142857153,0.7284541890106637,0.8405240642430735
Rocky Reef (n=10),Seagrass (n=5),1.2150000000000034,0.27034414065477624,0.4505735677579604
Rocky Reef (n=10),Spur & Groove Reef (n=7),0.15238095238095184,0.6962703401140232,0.8405240642430735
Seagrass (n=5),Spur & Groove Reef (n=7),1.9054945054945094,0.16746459631208535,0.35885270638304
