Group 1,Group 2,H,p-value,q-value
"17.929801, -66.158912 (n=2)","17.934784, -66.957102 (n=3)",0.33333333333333215,0.5637028616507738,0.8823175225838199
"17.929801, -66.158912 (n=2)","17.964016, -66.609962 (n=2)",0.5999999999999996,0.43857802608099994,0.8823175225838199
"17.929801, -66.158912 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.218831, -65.604282 (n=9)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.302451, -65.309386 (n=6)",1.7777777777777786,0.18242243945173184,0.8823175225838199
"17.929801, -66.158912 (n=2)","18.343114, -67.260138 (n=10)",0.0,1.0,1.0
"17.929801, -66.158912 (n=2)","18.387573, -65.719616 (n=5)",0.5999999999999979,0.4385780260810006,0.8823175225838199
"17.929801, -66.158912 (n=2)","18.515768, -67.100173 (n=5)",0.14999999999999858,0.69853535830334,0.9672028038046246
"17.934784, -66.957102 (n=3)","17.964016, -66.609962 (n=2)",0.0,1.0,1.0
"17.934784, -66.957102 (n=3)","17.9724027, -66.6179076 (n=1)",0.1999999999999993,0.6547208460185774,0.9611085480622314
"17.934784, -66.957102 (n=3)","18.218831, -65.604282 (n=9)",1.44444444444445,0.22942148462968523,0.8823175225838199
"17.934784, -66.957102 (n=3)","18.302451, -65.309386 (n=6)",0.5999999999999979,0.4385780260810006,0.8823175225838199
"17.934784, -66.957102 (n=3)","18.343114, -67.260138 (n=10)",0.4571428571428626,0.4989622986037584,0.8823175225838199
"17.934784, -66.957102 (n=3)","18.387573, -65.719616 (n=5)",2.68888888888889,0.10105025592541045,0.8594094451479943
"17.934784, -66.957102 (n=3)","18.515768, -67.100173 (n=5)",0.02222222222221859,0.8814974521910232,1.0
"17.964016, -66.609962 (n=2)","17.9724027, -66.6179076 (n=1)",0.0,1.0,1.0
"17.964016, -66.609962 (n=2)","18.218831, -65.604282 (n=9)",0.055555555555557135,0.8136637157667893,1.0
"17.964016, -66.609962 (n=2)","18.302451, -65.309386 (n=6)",0.4444444444444464,0.5049850750938447,0.8823175225838199
"17.964016, -66.609962 (n=2)","18.343114, -67.260138 (n=10)",0.18461538461538396,0.667436491709883,0.9611085480622314
"17.964016, -66.609962 (n=2)","18.387573, -65.719616 (n=5)",1.3499999999999979,0.2452781168067699,0.8823175225838199
"17.964016, -66.609962 (n=2)","18.515768, -67.100173 (n=5)",0.0,1.0,1.0
"17.9724027, -66.6179076 (n=1)","18.218831, -65.604282 (n=9)",0.7575757575757578,0.3840882494738519,0.8823175225838199
"17.9724027, -66.6179076 (n=1)","18.302451, -65.309386 (n=6)",1.0,0.31731050786291115,0.8823175225838199
"17.9724027, -66.6179076 (n=1)","18.343114, -67.260138 (n=10)",0.3999999999999986,0.5270892568655388,0.8823175225838199
"17.9724027, -66.6179076 (n=1)","18.387573, -65.719616 (n=5)",2.1428571428571423,0.14323490752466572,0.8594094451479943
"17.9724027, -66.6179076 (n=1)","18.515768, -67.100173 (n=5)",0.08571428571428541,0.7696979437812901,1.0
"18.218831, -65.604282 (n=9)","18.302451, -65.309386 (n=6)",2.7222222222222285,0.09896015401940556,0.8594094451479943
"18.218831, -65.604282 (n=9)","18.343114, -67.260138 (n=10)",0.0,1.0,1.0
"18.218831, -65.604282 (n=9)","18.387573, -65.719616 (n=5)",1.6044444444444466,0.20527450366426758,0.8823175225838199
"18.218831, -65.604282 (n=9)","18.515768, -67.100173 (n=5)",0.35999999999999943,0.5485062355001473,0.8823175225838199
"18.302451, -65.309386 (n=6)","18.343114, -67.260138 (n=10)",2.3058823529411825,0.12888507323288875,0.8594094451479943
"18.302451, -65.309386 (n=6)","18.387573, -65.719616 (n=5)",5.63333333333334,0.017622090962324352,0.6343952746436767
"18.302451, -65.309386 (n=6)","18.515768, -67.100173 (n=5)",0.5333333333333385,0.46520881845213957,0.8823175225838199
"18.343114, -67.260138 (n=10)","18.387573, -65.719616 (n=5)",1.2150000000000034,0.27034414065477624,0.8823175225838199
"18.343114, -67.260138 (n=10)","18.515768, -67.100173 (n=5)",0.5399999999999991,0.4624327264504765,0.8823175225838199
"18.387573, -65.719616 (n=5)","18.515768, -67.100173 (n=5)",2.4545454545454533,0.11718508719813842,0.8594094451479943
