Group 1,Group 2,H,p-value,q-value
Ceiba (n=9),Culebra (n=6),2.7222222222222285,0.09896015401940556,0.6014636750868142
Ceiba (n=9),Guanica (n=3),1.44444444444445,0.22942148462968523,0.7137557299590207
Ceiba (n=9),Guayama (n=2),0.0,1.0,1.0
Ceiba (n=9),Isabella (n=5),0.35999999999999943,0.5485062355001473,0.7516038155343651
Ceiba (n=9),Luquillo (n=5),1.6044444444444466,0.20527450366426758,0.7137557299590207
Ceiba (n=9),Ponce (n=3),0.41880341880342087,0.517534719643234,0.7516038155343651
Ceiba (n=9),Rincon (n=10),0.0,1.0,1.0
Culebra (n=6),Guanica (n=3),0.5999999999999979,0.4385780260810006,0.7516038155343651
Culebra (n=6),Guayama (n=2),1.7777777777777786,0.18242243945173184,0.7137557299590207
Culebra (n=6),Isabella (n=5),0.5333333333333385,0.46520881845213957,0.7516038155343651
Culebra (n=6),Luquillo (n=5),5.63333333333334,0.017622090962324352,0.49341854694508186
Culebra (n=6),Ponce (n=3),1.0666666666666664,0.30169958247834494,0.7516038155343651
Culebra (n=6),Rincon (n=10),2.3058823529411825,0.12888507323288875,0.6014636750868142
Guanica (n=3),Guayama (n=2),0.33333333333333215,0.5637028616507738,0.7516038155343651
Guanica (n=3),Isabella (n=5),0.02222222222221859,0.8814974521910232,0.9872771464539459
Guanica (n=3),Luquillo (n=5),2.68888888888889,0.10105025592541045,0.6014636750868142
Guanica (n=3),Ponce (n=3),0.04761904761904745,0.8272593465627116,0.9872771464539459
Guanica (n=3),Rincon (n=10),0.4571428571428626,0.4989622986037584,0.7516038155343651
Guayama (n=2),Isabella (n=5),0.14999999999999858,0.69853535830334,0.8890450014769782
Guayama (n=2),Luquillo (n=5),0.5999999999999979,0.4385780260810006,0.7516038155343651
Guayama (n=2),Ponce (n=3),0.33333333333333215,0.5637028616507738,0.7516038155343651
Guayama (n=2),Rincon (n=10),0.0,1.0,1.0
Isabella (n=5),Luquillo (n=5),2.4545454545454533,0.11718508719813842,0.6014636750868142
Isabella (n=5),Ponce (n=3),0.02222222222221859,0.8814974521910232,0.9872771464539459
Isabella (n=5),Rincon (n=10),0.5399999999999991,0.4624327264504765,0.7516038155343651
Luquillo (n=5),Ponce (n=3),2.68888888888889,0.10105025592541045,0.6014636750868142
Luquillo (n=5),Rincon (n=10),1.2150000000000034,0.27034414065477624,0.7516038155343651
Ponce (n=3),Rincon (n=10),0.4571428571428626,0.4989622986037584,0.7516038155343651
