Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Patch Reef,Reef Rubble,13,999,1.438562996621554,0.172,0.2866666666666667
Patch Reef,Rocks,15,999,1.0565813369148376,0.401,0.5468181818181819
Patch Reef,Rocky Reef,17,999,1.1736274770334765,0.302,0.453
Patch Reef,Seagrass,12,999,1.8888918042849232,0.024,0.12999999999999998
Patch Reef,Spur & Groove Reef,14,999,0.6581828171524218,0.839,0.839
Reef Rubble,Rocks,14,999,1.489868447892651,0.115,0.215625
Reef Rubble,Rocky Reef,16,999,1.7812233904506263,0.05,0.12999999999999998
Reef Rubble,Seagrass,11,999,1.8730508429562418,0.045,0.12999999999999998
Reef Rubble,Spur & Groove Reef,13,999,1.565240482766088,0.111,0.215625
Rocks,Rocky Reef,18,999,0.6900306532032021,0.811,0.839
Rocks,Seagrass,13,999,1.7707842361511257,0.031,0.12999999999999998
Rocks,Spur & Groove Reef,15,999,0.8331836749120858,0.668,0.7707692307692308
Rocky Reef,Seagrass,15,999,1.7795181053295401,0.052,0.12999999999999998
Rocky Reef,Spur & Groove Reef,17,999,0.8882857348163339,0.537,0.67125
Seagrass,Spur & Groove Reef,12,999,1.7068159728263597,0.029,0.12999999999999998
