	SubjectID1	SubjectID2	Group1	Group2	Distance
0	G2	G1	Ceiba	Ceiba	0.3655281506678947
1	G3	G1	Ceiba	Ceiba	0.5699871751024292
2	G3	G2	Ceiba	Ceiba	0.44099530175064977
3	G4	G1	Ceiba	Ceiba	0.29934535657392264
4	G4	G2	Ceiba	Ceiba	0.3533897323253447
5	G4	G3	Ceiba	Ceiba	0.47950574486149666
6	G5	G1	Ceiba	Ceiba	0.4587201971373988
7	G5	G2	Ceiba	Ceiba	0.3286968757749039
8	G5	G3	Ceiba	Ceiba	0.540203709267031
9	G5	G4	Ceiba	Ceiba	0.3934146553669227
10	G6	G1	Ceiba	Ceiba	0.4322492809521437
11	G6	G2	Ceiba	Ceiba	0.33004365267092606
12	G6	G3	Ceiba	Ceiba	0.5664677771481894
13	G6	G4	Ceiba	Ceiba	0.3575617705510925
14	G6	G5	Ceiba	Ceiba	0.2251516687636817
15	G7	G1	Ceiba	Ceiba	0.42314396528896736
16	G7	G2	Ceiba	Ceiba	0.40473712119859684
17	G7	G3	Ceiba	Ceiba	0.41382881162330226
18	G7	G4	Ceiba	Ceiba	0.28833001417082327
19	G7	G5	Ceiba	Ceiba	0.39645701918642784
20	G7	G6	Ceiba	Ceiba	0.4007393278666004
21	G8	G1	Ceiba	Ceiba	0.41597068013569877
22	G8	G2	Ceiba	Ceiba	0.4213325668797185
23	G8	G3	Ceiba	Ceiba	0.5434886724135464
24	G8	G4	Ceiba	Ceiba	0.3477144331013584
25	G8	G5	Ceiba	Ceiba	0.33572841188301206
26	G8	G6	Ceiba	Ceiba	0.39414401565004425
27	G8	G7	Ceiba	Ceiba	0.3760198790055841
28	G9	G1	Ceiba	Ceiba	0.4424394601079872
29	G9	G2	Ceiba	Ceiba	0.40058272222934493
30	G9	G3	Ceiba	Ceiba	0.535972713948865
31	G9	G4	Ceiba	Ceiba	0.28954334738881815
32	G9	G5	Ceiba	Ceiba	0.3225428014830939
33	G9	G6	Ceiba	Ceiba	0.36246269850005464
34	G9	G7	Ceiba	Ceiba	0.3098350837703462
35	G9	G8	Ceiba	Ceiba	0.29277656114866185
36	G1	E1	Ceiba	Culebra	0.3955967354452657
