Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Ceiba,Culebra,15,999,1.7958087893857715,0.055,0.2846666666666667
Ceiba,Guanica,12,999,1.2117062542640487,0.241,0.4498666666666667
Ceiba,Guayama,11,999,0.9796347544429583,0.352,0.5568888888888889
Ceiba,Isabella,14,999,0.6683972445014954,0.816,0.816
Ceiba,Luquillo,14,999,2.1883798886065504,0.004,0.112
Ceiba,Ponce,12,999,1.423843700702002,0.151,0.422
Ceiba,Rincon,19,999,1.2989192740752737,0.188,0.422
Culebra,Guanica,9,999,0.9304670874111503,0.544,0.6622608695652175
Culebra,Guayama,8,999,1.256066066997655,0.358,0.5568888888888889
Culebra,Isabella,11,999,1.1812072882576063,0.283,0.49524999999999997
Culebra,Luquillo,11,999,1.8730508429562418,0.034,0.259
Culebra,Ponce,9,999,1.274130323244332,0.207,0.422
Culebra,Rincon,16,999,1.7812233904506263,0.037,0.259
Guanica,Guayama,5,999,1.246876284047425,0.196,0.422
Guanica,Isabella,8,999,0.752685830434174,0.715,0.7725925925925926
Guanica,Luquillo,8,999,1.3755324402483045,0.188,0.422
Guanica,Ponce,6,999,1.2930535541376331,0.188,0.422
Guanica,Rincon,13,999,0.7584197423527308,0.696,0.7725925925925926
Guayama,Isabella,7,999,0.6685357470852732,0.745,0.7725925925925926
Guayama,Luquillo,7,999,1.4801123912521867,0.211,0.422
Guayama,Ponce,5,999,0.9621726618690797,0.497,0.6529090909090909
Guayama,Rincon,12,999,0.9379727455204723,0.47,0.6529090909090909
Isabella,Luquillo,10,999,1.3412364715859104,0.172,0.422
Isabella,Ponce,8,999,0.9481086151172607,0.513,0.6529090909090909
Isabella,Rincon,15,999,0.736638031825025,0.736,0.7725925925925926
Luquillo,Ponce,8,999,2.0501501695161486,0.012,0.168
Luquillo,Rincon,15,999,1.7795181053295377,0.061,0.2846666666666667
Ponce,Rincon,13,999,0.9757509247586791,0.503,0.6529090909090909
