	SubjectID1	SubjectID2	Group1	Group2	Distance
0	E1	C4	Large	Large	0.4648017520515269
1	E7	C4	Large	Large	0.5301802103384582
2	E7	E1	Large	Large	0.5261964990012112
3	C4	A1	Large	Medium	0.5276882435287166
4	C4	A10	Large	Medium	0.4351947520302634
5	C4	A2	Large	Medium	0.44640012295347525
6	C4	A4	Large	Medium	0.5717053523950508
7	C4	A5	Large	Medium	0.5317496877301426
8	C4	A6	Large	Medium	0.5132169327981173
9	C4	A7	Large	Medium	0.5477298886616415
10	C4	A8	Large	Medium	0.49368021905014964
11	C4	A9	Large	Medium	0.5490378594708354
12	C4	B3	Large	Medium	0.47834784570391004
13	C4	C2	Large	Medium	0.6513058515647326
14	C4	C3	Large	Medium	0.5015129631408126
15	C4	C5	Large	Medium	0.5632568935630853
16	C4	D1	Large	Medium	0.5498547895487855
17	C4	D2	Large	Medium	0.44817966009479976
18	C4	D3	Large	Medium	0.4758625042777283
19	C4	D4	Large	Medium	0.45164724868736067
20	C4	D5	Large	Medium	0.4503957538725183
21	C4	E2	Large	Medium	0.4986404257842133
22	C4	E3	Large	Medium	0.7223034854950063
23	C4	E4	Large	Medium	0.3803779229327594
24	C4	E6	Large	Medium	0.49467928405941647
25	C4	F1	Large	Medium	0.582137224957493
26	C4	G1	Large	Medium	0.37736277144827973
27	C4	G2	Large	Medium	0.49513469317791114
28	C4	G4	Large	Medium	0.4925153979534823
29	C4	G5	Large	Medium	0.5739675409264783
30	C4	G6	Large	Medium	0.5242289778441185
31	C4	G7	Large	Medium	0.5468796574993644
32	C4	G8	Large	Medium	0.5333348537420933
33	C4	H2	Large	Medium	0.5104188251039026
34	E1	A1	Large	Medium	0.5183887229953533
35	E1	A10	Large	Medium	0.39209683326255096
36	E1	A2	Large	Medium	0.48887079205148476
37	E1	A4	Large	Medium	0.5018507958240519
38	E1	A5	Large	Medium	0.4305339790180747
39	E1	A6	Large	Medium	0.3878508587653337
40	E1	A7	Large	Medium	0.4464055196189325
41	E1	A8	Large	Medium	0.39796982464111097
42	E1	A9	Large	Medium	0.37084270844543754
43	E1	B3	Large	Medium	0.4031397050896811
44	E1	C2	Large	Medium	0.5033977480252768
45	E1	C3	Large	Medium	0.3702946313533034
46	E1	C5	Large	Medium	0.5109230275927186
47	E1	D1	Large	Medium	0.4468471205748827
48	E1	D2	Large	Medium	0.3727727278589048
49	E1	D3	Large	Medium	0.5342862773027192
50	E1	D4	Large	Medium	0.4487740651388946
51	E1	D5	Large	Medium	0.3637374407580196
52	E1	E2	Large	Medium	0.45823032457598634
53	E1	E3	Large	Medium	0.7198376387851052
54	E1	E4	Large	Medium	0.3740298735269207
55	E1	E6	Large	Medium	0.49148024522785894
56	E1	F1	Large	Medium	0.41568911201782766
57	E1	G1	Large	Medium	0.3955967354452657
58	E1	G2	Large	Medium	0.41469138654225257
59	E1	G4	Large	Medium	0.3746539499250421
60	E1	G5	Large	Medium	0.359817356631554
61	E1	G6	Large	Medium	0.30125082419663923
62	E1	G7	Large	Medium	0.3818660924765459
63	E1	G8	Large	Medium	0.44568072977089324
64	E1	H2	Large	Medium	0.45270761252902575
65	E7	A1	Large	Medium	0.28480870955745546
66	E7	A10	Large	Medium	0.49712498037458747
67	E7	A2	Large	Medium	0.5341150535918161
68	E7	A4	Large	Medium	0.5354940737874161
69	E7	A5	Large	Medium	0.3329350735091477
70	E7	A6	Large	Medium	0.40501190662311615
71	E7	A7	Large	Medium	0.4611238172670592
72	E7	A8	Large	Medium	0.41229338873619653
73	E7	A9	Large	Medium	0.5270244149961885
74	E7	B3	Large	Medium	0.4897577464937486
75	E7	C2	Large	Medium	0.5288602813079469
76	E7	C3	Large	Medium	0.44921598147966463
77	E7	C5	Large	Medium	0.6050360931443175
78	E7	D1	Large	Medium	0.5878973380105188
79	E7	D2	Large	Medium	0.46615683844965294
80	E7	D3	Large	Medium	0.45384256723981475
81	E7	D4	Large	Medium	0.40541387547603386
82	E7	D5	Large	Medium	0.4417866341608877
83	E7	E2	Large	Medium	0.3824662942752396
84	E7	E3	Large	Medium	0.6011415755545778
85	E7	E4	Large	Medium	0.41382761885084407
86	E7	E6	Large	Medium	0.2624210661363147
87	E7	F1	Large	Medium	0.556953044260532
88	E7	G1	Large	Medium	0.50413068150711
89	E7	G2	Large	Medium	0.5454305601410993
90	E7	G4	Large	Medium	0.39532937044958316
91	E7	G5	Large	Medium	0.48509660157173334
92	E7	G6	Large	Medium	0.5486319874737204
93	E7	G7	Large	Medium	0.4341809532381944
94	E7	G8	Large	Medium	0.4375610572855474
95	E7	H2	Large	Medium	0.4173956378964559
96	C4	A3	Large	Small	0.6027102276867432
97	C4	B1	Large	Small	0.6054387830222835
98	C4	B2	Large	Small	0.5888033851353718
99	C4	C1	Large	Small	0.5005846262392102
100	C4	F2	Large	Small	0.5431070680055196
101	C4	G3	Large	Small	0.6245493294676936
102	C4	G9	Large	Small	0.5356813862209129
103	C4	H1	Large	Small	0.4179520880098582
104	C4	H3	Large	Small	0.569626756847867
105	E1	A3	Large	Small	0.41862261888485436
106	E1	B1	Large	Small	0.48658297408683504
107	E1	B2	Large	Small	0.6076370781901078
108	E1	C1	Large	Small	0.37783762902519213
109	E1	F2	Large	Small	0.4240283074186922
110	E1	G3	Large	Small	0.6053635653428631
111	E1	G9	Large	Small	0.4116785623145593
112	E1	H1	Large	Small	0.40859326965219656
113	E1	H3	Large	Small	0.39739370251680495
114	E7	A3	Large	Small	0.40867941206533154
115	E7	B1	Large	Small	0.35322748146066624
116	E7	B2	Large	Small	0.4871177195696983
117	E7	C1	Large	Small	0.4433832510275027
118	E7	F2	Large	Small	0.46232565628864986
119	E7	G3	Large	Small	0.5008859884949837
120	E7	G9	Large	Small	0.3898295625592978
121	E7	H1	Large	Small	0.36399105363965245
122	E7	H3	Large	Small	0.39547821096094876
0	A10	A1	Medium	Medium	0.5426752523188336
1	A2	A1	Medium	Medium	0.5777472235832924
2	A2	A10	Medium	Medium	0.4190981029421633
3	A4	A1	Medium	Medium	0.5846049454132006
4	A4	A10	Medium	Medium	0.4088663519343735
5	A4	A2	Medium	Medium	0.6005385259854756
6	A5	A1	Medium	Medium	0.28907857040699747
7	A5	A10	Medium	Medium	0.47312421411144373
8	A5	A2	Medium	Medium	0.6019012389905732
9	A5	A4	Medium	Medium	0.4778263437320422
10	A6	A1	Medium	Medium	0.4213553972497434
11	A6	A10	Medium	Medium	0.3510589895181253
12	A6	A2	Medium	Medium	0.47909542194244426
13	A6	A4	Medium	Medium	0.4652250461871623
14	A6	A5	Medium	Medium	0.29451974452868
15	A7	A1	Medium	Medium	0.42591590781666117
16	A7	A10	Medium	Medium	0.3889088887983755
17	A7	A2	Medium	Medium	0.5662346000365094
18	A7	A4	Medium	Medium	0.46703676660366317
19	A7	A5	Medium	Medium	0.30358004524215276
20	A7	A6	Medium	Medium	0.24336630428217632
21	A8	A1	Medium	Medium	0.48481681807745464
22	A8	A10	Medium	Medium	0.38809159343438454
23	A8	A2	Medium	Medium	0.5713067948197642
24	A8	A4	Medium	Medium	0.48574591445392307
25	A8	A5	Medium	Medium	0.37385570771565396
26	A8	A6	Medium	Medium	0.35354441156440014
27	A8	A7	Medium	Medium	0.35604893453639774
28	A9	A1	Medium	Medium	0.46285087360130883
29	A9	A10	Medium	Medium	0.40285131674415686
30	A9	A2	Medium	Medium	0.5629798866306341
31	A9	A4	Medium	Medium	0.51822174339518
32	A9	A5	Medium	Medium	0.44406884090749976
33	A9	A6	Medium	Medium	0.42255631072680594
34	A9	A7	Medium	Medium	0.37214082748747035
35	A9	A8	Medium	Medium	0.36944347718883397
36	B3	A1	Medium	Medium	0.49695618988263734
37	B3	A10	Medium	Medium	0.4245835141599166
38	B3	A2	Medium	Medium	0.40142051506148324
39	B3	A4	Medium	Medium	0.5175177713003529
40	B3	A5	Medium	Medium	0.38179011266440777
41	B3	A6	Medium	Medium	0.29093501987829784
42	B3	A7	Medium	Medium	0.40018509069699704
43	B3	A8	Medium	Medium	0.4292311733070449
44	B3	A9	Medium	Medium	0.46379478645382016
45	C2	A1	Medium	Medium	0.46198670352284205
