index,k__Bacteria,Size,Proportion,Reef_Habitat,Current,Location,ZipCode,Latitude_Longitude,Alignment
E7,6104.0,ThreePointFive,Large,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
H1,5317.0,Two,Small,Rocks,Calm,Guanica,647.0,"17.934784, -66.957102",South
D1,6186.0,TwoPointFive,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
G6,5524.0,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
G4,4608.0,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
G5,5370.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A4,6839.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
F2,5453.0,OnePointFive,Small,Rocks,Calm,Guayama,784.0,"17.929801, -66.158912",South
G7,6363.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A8,5096.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
A9,6125.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
B3,6012.0,Three,Medium,Rocks,Calm,Ponce,716.0,"17.964016, -66.609962",South
C3,4324.0,Three,Medium,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
H3,6109.0,OnePointFive,Small,Rocks,Calm,Guanica,647.0,"17.934784, -66.957102",South
A2,5166.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
F1,4257.0,TwoPointFive,Medium,Rocks,Calm,Guayama,784.0,"17.929801, -66.158912",South
G8,5979.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A5,3614.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
G1,5911.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A1,5546.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
D4,10427.0,TwoPointFive,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
D2,4827.0,Three,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
C5,6068.0,Three,Medium,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
A7,4820.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
E4,10135.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
C4,2903.0,FourPointFive,Large,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
B2,9365.0,Two,Small,Rocks,Calm,Ponce,716.0,"17.964016, -66.609962",South
A3,7409.0,Two,Small,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
C1,6574.0,OnePointFive,Small,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
D3,6987.0,Three,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
E2,4470.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
A6,2603.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
E3,6095.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
C2,3333.0,TwoPointFive,Medium,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
D5,3192.0,TwoPointFive,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
A10,4013.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
G3,6743.0,Two,Small,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
H2,6249.0,Three,Medium,Rocks,Calm,Guanica,647.0,"17.934784, -66.957102",South
G2,5008.0,Three,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
G9,7508.0,Two,Small,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
E6,6807.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
B1,5677.0,Two,Small,Rocks,Calm,Ponce,716.0,"17.9724027, -66.6179076",South
E1,5145.0,ThreePointFive,Large,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
