index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes,Size,Proportion,Reef_Habitat,Current,Location,ZipCode,Latitude_Longitude,Alignment
E7,3216.0,0.0,4.0,2884.0,0.0,ThreePointFive,Large,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
H1,3713.0,5.0,0.0,1599.0,0.0,Two,Small,Rocks,Calm,Guanica,647.0,"17.934784, -66.957102",South
D1,508.0,0.0,12.0,5666.0,0.0,TwoPointFive,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
G6,295.0,9.0,0.0,5220.0,0.0,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
G4,2687.0,8.0,6.0,1907.0,0.0,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
G5,656.0,0.0,0.0,4714.0,0.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A4,1145.0,43.0,515.0,5136.0,0.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
F2,315.0,14.0,0.0,5124.0,0.0,OnePointFive,Small,Rocks,Calm,Guayama,784.0,"17.929801, -66.158912",South
G7,3657.0,5.0,0.0,2697.0,4.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A8,701.0,2.0,0.0,4393.0,0.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
A9,510.0,0.0,2.0,5613.0,0.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
B3,2444.0,21.0,7.0,3540.0,0.0,Three,Medium,Rocks,Calm,Ponce,716.0,"17.964016, -66.609962",South
C3,1439.0,9.0,7.0,2869.0,0.0,Three,Medium,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
H3,1787.0,0.0,0.0,4322.0,0.0,OnePointFive,Small,Rocks,Calm,Guanica,647.0,"17.934784, -66.957102",South
A2,1019.0,46.0,49.0,4052.0,0.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
F1,1219.0,39.0,6.0,2993.0,0.0,TwoPointFive,Medium,Rocks,Calm,Guayama,784.0,"17.929801, -66.158912",South
G8,584.0,0.0,0.0,5395.0,0.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A5,1949.0,15.0,6.0,1644.0,0.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
G1,1786.0,0.0,14.0,4111.0,0.0,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,735.0,"18.218831, -65.604282",North
A1,3220.0,0.0,0.0,2325.0,1.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
D4,4646.0,6.0,18.0,5753.0,4.0,TwoPointFive,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
D2,531.0,2.0,7.0,4287.0,0.0,Three,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
C5,212.0,3.0,16.0,5837.0,0.0,Three,Medium,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
A7,254.0,12.0,17.0,4537.0,0.0,Three,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
E4,6091.0,0.0,5.0,4035.0,4.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
C4,382.0,14.0,102.0,2405.0,0.0,FourPointFive,Large,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
B2,366.0,0.0,65.0,8934.0,0.0,Two,Small,Rocks,Calm,Ponce,716.0,"17.964016, -66.609962",South
A3,3329.0,0.0,0.0,4080.0,0.0,Two,Small,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
C1,151.0,2.0,0.0,6421.0,0.0,OnePointFive,Small,Spur & Groove Reef,Strong,Isabella,662.0,"18.515768, -67.100173",North
D3,619.0,8.0,39.0,6321.0,0.0,Three,Medium,Seagrass,Strong,Luquillo,773.0,"18.387573, -65.719616",North
E2,198.0,2.0,0.0,4270.0,0.0,Three,Medium,Reef Rubble,Medium,Culebra,775.0,"18.302451, -65.309386",East
A6,1125.0,18.0,31.0,1429.0,0.0,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,677.0,"18.343114, -67.260138",West
