#Sample ID	Size	Reef_Habitat	Location	ZipCode	Latitude_Longitude
A1	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A5	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A7	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A8	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
A9	3	Rocky Reef	Rincon	00677	18.343114, -67.260138
B3	3	Rocks	Ponce	00716	17.964016, -66.609962
C3	3	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
C5	3	Spur & Groove Reef	Isabella	00662	18.515768, -67.100173
D2	3	Seagrass	Luquillo	00773	18.387573, -65.719616
D3	3	Seagrass	Luquillo	00773	18.387573, -65.719616
E2	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
E3	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
E4	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
E6	3	Reef Rubble	Culebra	00775	18.302451, -65.309386
G2	3	Patch Reef	Ceiba	00735	18.218831, -65.604282
H2	3	Rocks	Guanica	00647	17.934784, -66.957102
