SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	262856	99998
1	1101	7860	7860
2	1101	1084	1084
3	1101	1665	1665
4	1101	1050	1050
5	1101	869	869
6	1101	20950	20950
7	1101	2755	2755
8	1101	1371	1371
9	1101	1287	1287
10	1101	17118	17118
11	1101	23140	23140
12	1101	9400	9400
13	1101	252	252
14	1101	10911	10911
15	1101	1801	1801
16	1101	1763	1763
17	1101	1936	1936
18	1101	7718	7718
19	1101	8274	8274
20	1101	8035	8035
21	1101	1643	1643
22	1101	39	39
23	1101	14175	14175
24	1101	72548	72548
0	1102	219575	18891
1	1102	6889	6889
2	1102	1024	1024
3	1102	2526	2526
4	1102	1250	1250
5	1102	740	740
6	1102	19460	19460
7	1102	3213	3213
8	1102	1740	1740
9	1102	1166	1166
10	1102	15777	15777
11	1102	32879	32879
12	1102	13512	13512
13	1102	277	277
14	1102	9931	9931
15	1102	3164	3164
16	1102	2166	2166
17	1102	1715	1715
18	1102	6976	6976
19	1102	12101	12101
20	1102	11828	11828
21	1102	1427	1427
22	1102	24	24
23	1102	17469	17469
24	1102	93671	93671
0	1103	224846	12315
1	1103	6876	6876
2	1103	1016	1016
3	1103	2525	2525
4	1103	1274	1274
5	1103	727	727
6	1103	19646	19646
7	1103	3215	3215
8	1103	1666	1666
9	1103	1133	1133
10	1103	15700	15700
11	1103	32090	32090
12	1103	13046	13046
13	1103	284	284
14	1103	9996	9996
15	1103	3067	3067
16	1103	2166	2166
17	1103	1731	1731
18	1103	6965	6965
19	1103	11628	11628
20	1103	11597	11597
21	1103	1511	1511
22	1103	27	27
23	1103	17164	17164
24	1103	90604	90604
0	1104	218947	22477
1	1104	6963	6963
2	1104	1052	1052
3	1104	2520	2520
4	1104	1246	1246
5	1104	754	754
6	1104	19314	19314
7	1104	3278	3278
8	1104	1783	1783
9	1104	1063	1063
10	1104	15539	15539
11	1104	33162	33162
12	1104	13284	13284
13	1104	257	257
14	1104	9993	9993
15	1104	3173	3173
16	1104	2188	2188
17	1104	1695	1695
18	1104	6761	6761
19	1104	11819	11819
20	1104	11918	11918
21	1104	1444	1444
22	1104	27	27
23	1104	17726	17726
24	1104	94594	94594
0	1105	226107	12853
1	1105	6769	6769
